Gene stable ID	Gene % GC content	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	NCBI gene ID	Transcript length (including UTRs and CDS)	Transcript support level (TSL)
ENSG00000205643	57.88	22	46244011	46250679	CDPF1	150383	498	tsl3
ENSG00000164885	58.08	7	151053812	151058530	CDK5	1020	1758	tsl1
ENSG00000164885	58.08	7	151053812	151058530	CDK5	1020	783	tsl1
ENSG00000164885	58.08	7	151053812	151058530	CDK5	1020	922	tsl5
ENSG00000164885	58.08	7	151053812	151058530	CDK5	1020	726	tsl4
ENSG00000164885	58.08	7	151053812	151058530	CDK5	1020	582	tsl3
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	2740	tsl1
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	1829	tsl2
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	1421	tsl2
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	1128	tsl2
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	5772	tsl2
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	2404	tsl2
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	4267	tsl1
ENSG00000167995	52.16	11	61949821	61965515	BEST1	7439	1263	tsl2
ENSG00000273618	57.06	14	23530682	23532367	AL135999.2		1686	tslNA
ENSG00000157306	52.26	14	23511760	23560778	ZFHX2-AS1		931	tsl3
ENSG00000157306	52.26	14	23511760	23560778	ZFHX2-AS1		538	tsl4
ENSG00000157306	52.26	14	23511760	23560778	ZFHX2-AS1		2322	tsl2
ENSG00000157306	52.26	14	23511760	23560778	ZFHX2-AS1		423	tsl5
ENSG00000157306	52.26	14	23511760	23560778	ZFHX2-AS1		2524	tsl2
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	960	tsl3
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	1143	tsl1
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	1419	tsl1
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	1300	tsl1
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	988	tsl1
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	1360	tsl5
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	788	tsl3
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	991	tsl5
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	1246	tsl2
ENSG00000131652	57.25	16	3024027	3027755	THOC6	79228	614	tsl2
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	2539	tsl1
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	759	tsl3
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	3360	tsl1
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	874	tsl1
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	2315	tsl1
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	783	tsl2
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	549	tsl4
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	2219	tsl2
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	392	tsl5
ENSG00000068796	38.86	5	62306162	62537249	KIF2A	3796	293	tsl2
ENSG00000053702	51.39	12	2825348	2835544	NRIP2	83714	2746	tsl1
ENSG00000053702	51.39	12	2825348	2835544	NRIP2	83714	591	tsl4
ENSG00000053702	51.39	12	2825348	2835544	NRIP2	83714	578	tsl4
ENSG00000235440	51.83	2	26101317	26102136	AC011742.3		820	tslNA
ENSG00000279851	58.47	21	10122273	10129029	CR382287.2		1942	tsl2
ENSG00000235503	35.96	7	83355154	83362266	AC079799.1		331	tsl3
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	571	tsl2
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	1779	tsl2
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	2860	tsl1
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	581	tsl3
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	535	tsl3
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	569	tsl4
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	1595	tsl2
ENSG00000259431	54.20	14	23555988	23560271	THTPA	79178	339	tsl2
ENSG00000279062	61.77	21	10136419	10137004	CR382287.1		586	tslNA
ENSG00000241656	51.32	12	115592604	115592983	UBA52P7		380	tslNA
ENSG00000123570	39.63	X	103822322	103832228	RAB9B	51209	3748	tsl1
ENSG00000257407	45.31	12	115582061	115639734	AC009803.1		416	tsl3
ENSG00000257407	45.31	12	115582061	115639734	AC009803.1		544	tsl4
ENSG00000237274	43.50	9	6195934	6197248	GTF3AP1		1004	tslNA
ENSG00000251357	50.93	22	23862188	23895223	AP000350.4		788	tsl5
ENSG00000223387	40.99	3	172560888	172595607	LINC02068	105374219	328	tsl3
ENSG00000223387	40.99	3	172560888	172595607	LINC02068	105374219	563	tsl2
ENSG00000223387	40.99	3	172560888	172595607	LINC02068	105374219	3212	tsl2
ENSG00000250885	44.49	5	32646564	32651976	LINC02061		335	tsl3
ENSG00000218537	59.69	22	23894426	23898930	MIF-AS1		1476	tsl1
ENSG00000272973	44.86	22	23856427	23857039	AP000350.5		613	tslNA
ENSG00000203783	46.42	1	153217584	153219317	PRR9	574414	1229	tsl5
ENSG00000253390	45.89	8	23458601	23484971	AC104561.1		630	tsl2
ENSG00000253483	55.49	8	23483016	23483534	AC104561.2		519	tslNA
ENSG00000137033	37.75	9	6215786	6257983	IL33	90865	2641	tsl1
ENSG00000137033	37.75	9	6215786	6257983	IL33	90865	636	tsl3
ENSG00000137033	37.75	9	6215786	6257983	IL33	90865	2327	tsl2
ENSG00000137033	37.75	9	6215786	6257983	IL33	90865	757	tsl1
ENSG00000137033	37.75	9	6215786	6257983	IL33	90865	2501	tsl5
ENSG00000256902	67.16	12	2752597	2753132	IQSEC3P1		536	tslNA
ENSG00000170381	34.70	7	83363906	83649010	SEMA3E	9723	6476	tsl1
ENSG00000170381	34.70	7	83363906	83649010	SEMA3E	9723	2414	tsl2
ENSG00000170381	34.70	7	83363906	83649010	SEMA3E	9723	626	tsl5
ENSG00000170381	34.70	7	83363906	83649010	SEMA3E	9723	571	tsl3
ENSG00000258325	47.69	12	2796877	2812902	ITFG2-AS1		411	tsl5
ENSG00000258325	47.69	12	2796877	2812902	ITFG2-AS1		442	tsl2
ENSG00000258325	47.69	12	2796877	2812902	ITFG2-AS1		347	tsl3
ENSG00000219392	41.23	6	28115628	28116551	ZNF602P		924	tslNA
ENSG00000165471	38.63	10	52765380	52771700	MBL2	4153	3569	tsl1
ENSG00000260685	37.00	15	75950464	75951144	AC027104.1		681	tslNA
ENSG00000256030	44.79	12	2786931	2794295	CBX3P4		354	tslNA
ENSG00000256030	44.79	12	2786931	2794295	CBX3P4		423	tsl2
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	3117	tsl1
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	1675	tsl1
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	1295	tsl1
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	2768	tsl2
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	1682	tsl5
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	793	tsl3
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	479	tsl3
ENSG00000123130	44.61	X	23702253	23766475	ACOT9	23597	683	tsl3
ENSG00000232906	33.95	7	65355934	65357176	AC092685.1		1243	tslNA
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	2086	tsl1
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	2073	tsl5
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	1547	tsl5
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	839	tsl3
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	948	tsl5
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	598	tsl3
ENSG00000151065	38.72	12	1946054	2004535	DCP1B	196513	2231	tsl2
ENSG00000092051	56.69	14	23568035	23578800	JPH4	84502	4278	tsl1
ENSG00000092051	56.69	14	23568035	23578800	JPH4	84502	4386	tsl1
ENSG00000092051	56.69	14	23568035	23578800	JPH4	84502	1124	tsl2
ENSG00000092051	56.69	14	23568035	23578800	JPH4	84502	2447	tsl2
ENSG00000092051	56.69	14	23568035	23578800	JPH4	84502	3489	tsl5
ENSG00000280784	66.52	CHR_HSCHR6_1_CTG9	166229334	166229554	AL121956.3		221	tslNA
ENSG00000257781	41.95	12	115755262	115799936	AC009387.1		441	tsl3
ENSG00000146757	39.16	7	65373799	65401135	ZNF92	168374	3210	tsl1
ENSG00000146757	39.16	7	65373799	65401135	ZNF92	168374	582	tsl4
ENSG00000146757	39.16	7	65373799	65401135	ZNF92	168374	2947	tsl1
ENSG00000146757	39.16	7	65373799	65401135	ZNF92	168374	2957	tsl1
ENSG00000146757	39.16	7	65373799	65401135	ZNF92	168374	3124	tsl1
ENSG00000235011	35.62	1	79323769	79324863	AL353651.1		355	tsl5
ENSG00000282898	35.61	1	79323769	79324852	AL353651.2		559	tsl5
ENSG00000224426	47.97	3	172603440	172604006	SLC31A1P1		567	tslNA
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	477	tsl4
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	513	tsl5
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	581	tsl3
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	3406	tsl1
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	2368	tsl2
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	1159	tsl1
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	1007	tsl1
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	1453	tsl2
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	1036	tsl2
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	559	tsl5
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	610	tsl5
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	799	tsl5
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	529	tsl4
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	716	tsl3
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	166	tsl1
ENSG00000169752	38.21	15	75935969	76059795	NRG4	145957	558	tsl4
ENSG00000232676	44.93	1	79521080	79522203	ADH5P2		1124	tslNA
ENSG00000238040	47.32	X	129871309	129877567	SALL4P2		2910	tslNA
ENSG00000227121	39.78	10	52973488	52975815	AC073174.1		415	tsl5
ENSG00000262420	56.49	16	11741910	11744506	AC007613.1		2597	tslNA
ENSG00000235756	45.81	1	80092103	80093237	AC098657.1		1135	tslNA
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	3140	tsl2
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	1199	tsl5
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	3178	tsl1
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	387	tsl2
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	1509	tslNA
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	615	tsl3
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	863	tsl3
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	581	tsl5
ENSG00000153066	43.55	16	11679080	11742878	TXNDC11	51061	919	tsl3
ENSG00000257683	43.45	12	115810359	115886137	LINC02463		497	tsl3
ENSG00000260322	39.68	1	80114943	80116918	AC098657.2		1976	tslNA
ENSG00000240441	44.30	12	107719599	107720133	AC007622.1		535	tslNA
ENSG00000230779	50.38	1	153225080	153226006	AL161636.2		927	tslNA
ENSG00000186328	53.05	6	34715613	34715940	AL451165.1		328	tslNA
ENSG00000232879	44.51	1	161034834	161035006	AL591806.2		173	tslNA
ENSG00000235189	45.90	X	129869064	129957528	AL034405.1		526	tsl2
ENSG00000023909	36.37	1	93885205	93909456	GCLM	2730	4857	tsl1
ENSG00000023909	36.37	1	93885205	93909456	GCLM	2730	625	tsl3
ENSG00000023909	36.37	1	93885205	93909456	GCLM	2730	583	tsl3
ENSG00000023909	36.37	1	93885205	93909456	GCLM	2730	3008	tsl1
ENSG00000176542	40.61	3	113648385	113696646	USF3	205717	2133	tsl1
ENSG00000176542	40.61	3	113648385	113696646	USF3	205717	8397	tsl1
ENSG00000176542	40.61	3	113648385	113696646	USF3	205717	8461	tsl5
ENSG00000176542	40.61	3	113648385	113696646	USF3	205717	13708	tsl5
ENSG00000231399	38.08	10	53038285	53038544	SNRPEP8		260	tslNA
ENSG00000234917	44.07	1	42678735	42681659	AC098484.2		601	tsl1
ENSG00000125998	58.06	20	35285731	35292401	FAM83C	128876	3145	tsl1
ENSG00000183617	56.43	19	3762664	3768575	MRPL54	116541	626	tsl1
ENSG00000183617	56.43	19	3762664	3768575	MRPL54	116541	491	tsl3
ENSG00000261261	41.54	16	52622115	52631088	AC026462.4		951	tsl3
ENSG00000261261	41.54	16	52622115	52631088	AC026462.4		532	tsl3
ENSG00000260393	45.84	16	52607762	52608158	AC026462.2		286	tsl2
ENSG00000249231	41.67	16	52552090	52652105	CASC16	643714	461	tsl3
ENSG00000249231	41.67	16	52552090	52652105	CASC16	643714	955	tsl1
ENSG00000249231	41.67	16	52552090	52652105	CASC16	643714	610	tsl3
ENSG00000235214	56.72	20	35285251	35285756	FAM83C-AS1	140846	352	tsl3
ENSG00000277670	41.62	1	80124004	80124361	AC098657.3		263	tslNA
ENSG00000232510	46.19	CHR_HSCHR6_MHC_DBB_CTG1	30095564	30105041	TRIM31-AS1	104533120	549	tsl3
ENSG00000260963	41.42	16	52607349	52613908	AC026462.3		557	tsl2
ENSG00000260963	41.42	16	52607349	52613908	AC026462.3		515	tsl3
ENSG00000260963	41.42	16	52607349	52613908	AC026462.3		498	tsl2
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	2043	tsl5
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	1935	tsl2
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	1223	tsl2
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	620	tsl3
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	738	tsl2
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	517	tsl3
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	613	tsl2
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	593	tsl3
ENSG00000233573	47.13	CHR_HSCHR6_MHC_DBB_CTG1	30093221	30103423	TRIM31	11074	510	tsl5
ENSG00000172771	49.22	3	129401321	129428651	EFCAB12	90288	2154	tsl1
ENSG00000172771	49.22	3	129401321	129428651	EFCAB12	90288	3249	tsl2
ENSG00000172771	49.22	3	129401321	129428651	EFCAB12	90288	5607	tsl2
ENSG00000172771	49.22	3	129401321	129428651	EFCAB12	90288	618	tsl5
ENSG00000172771	49.22	3	129401321	129428651	EFCAB12	90288	2153	tsl1
ENSG00000152102	45.79	2	131047876	131093460	FAM168B	130074	5285	tsl1
ENSG00000152102	45.79	2	131047876	131093460	FAM168B	130074	944	tsl3
ENSG00000244151	60.87	7	151074742	151076530	AC010973.2		1230	tsl2
ENSG00000226296	35.59	10	53291072	53311065	AC036101.1		597	tsl3
ENSG00000203782	60.26	1	153259700	153262122	LOR	4014	1230	tsl1
ENSG00000226757	54.26	4	121764585	121766814	PP12613	100192379	2230	tslNA
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	2032	tsl2
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	2389	tsl2
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	2313	tsl1
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	1753	tsl3
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	1002	tsl2
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	573	tsl4
ENSG00000164112	42.71	4	121758933	121765427	TMEM155	132332	463	tsl5
ENSG00000276691	46.89	12	47788426	47788971	AC004466.3		546	tslNA
ENSG00000238090	54.06	7	33379964	33380886	AC006195.1		923	tslNA
ENSG00000257433	50.18	12	47706085	47742294	AC004241.1		3299	tsl5
ENSG00000257433	50.18	12	47706085	47742294	AC004241.1		457	tslNA
ENSG00000257433	50.18	12	47706085	47742294	AC004241.1		460	tsl3
ENSG00000257433	50.18	12	47706085	47742294	AC004241.1		532	tsl2
ENSG00000257433	50.18	12	47706085	47742294	AC004241.1		314	tsl3
ENSG00000233805	40.00	10	53766400	53766614	AL365496.1		215	tslNA
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	613	tsl4
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	4027	tsl1
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	3899	tsl5
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	3914	tsl5
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	4004	tsl5
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	535	tsl4
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	3705	tsl1
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	707	tsl3
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	596	tsl4
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	1982	tsl1
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	549	tsl5
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	650	tsl2
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	481	tsl3
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	459	tsl3
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	614	tsl2
ENSG00000122507	37.38	7	33129244	33606068	BBS9	27241	1252	tsl1
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	652	tsl3
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	3206	tsl1
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	633	tsl4
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	636	tsl4
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	1128	tsl1
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	3667	tsl2
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	815	tsl2
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	725	tsl3
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	593	tsl4
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	277	tsl5
ENSG00000100055	55.45	22	37282027	37315345	CYTH4	27128	569	tsl4
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	530	tsl2
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	507	tsl4
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	550	tsl4
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	1229	tsl1
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	912	tsl2
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	983	tsl2
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	786	tsl2
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	742	tsl3
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	788	tsl1
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	885	tsl5
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	567	tsl3
ENSG00000167996	50.42	11	61959718	61967660	FTH1	2495	825	tsl1
ENSG00000261996	46.57	17	6653464	6655009	AC004706.1		879	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	2361	tsl1
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	1459	tsl2
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	1419	tsl1
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	1935	tsl2
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	587	tsl2
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	449	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	1088	tsl2
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	715	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	559	tsl2
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	292	tsl5
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	709	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	878	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	278	tsl3
ENSG00000111203	50.20	12	2812622	2859791	ITFG2	55846	1302	tsl1
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		1009	tsl5
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		984	tslNA
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		834	tsl5
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		700	tsl3
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		2493	tsl5
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		482	tsl2
ENSG00000274114	50.10	17	6657034	6693577	AC004706.3		977	tsl5
ENSG00000277173	44.02	12	47768529	47769648	AC004241.4		1120	tslNA
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	596	tsl3
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	3763	tsl1
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	4020	tsl1
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	527	tsl3
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	3434	tsl5
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	3449	tsl1
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	699	tsl2
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	654	tsl3
ENSG00000133619	57.32	7	149714781	149734575	KRBA1	84626	572	tsl4
ENSG00000231384	47.36	3	172680714	172681224	AC007919.2		511	tslNA
ENSG00000268069	57.69	12	47784923	47786002	AC004466.1		1080	tslNA
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	4687	tsl1
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	587	tsl2
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	921	tsl2
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	602	tsl2
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	4315	tsl2
ENSG00000144959	41.72	3	172630249	172711218	NCEH1	57552	4062	tsl2
ENSG00000241120	43.06	3	167694355	167694642	HMGN1P8		288	tslNA
ENSG00000111405	48.95	12	47709734	47725567	ENDOU	8909	2332	tsl1
ENSG00000111405	48.95	12	47709734	47725567	ENDOU	8909	2413	tsl1
ENSG00000111405	48.95	12	47709734	47725567	ENDOU	8909	1513	tsl2
ENSG00000111405	48.95	12	47709734	47725567	ENDOU	8909	652	tsl2
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	3252	tsl1
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	547	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	574	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	3022	tsl2
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	406	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	835	tsl1
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	1268	tsl5
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	1782	tsl1
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	1809	tsl1
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	423	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	560	tsl3
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	556	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	486	tsl4
ENSG00000013725	49.93	11	60971680	61020377	CD6	923	3197	tsl3
ENSG00000229695	40.41	2	43680465	43681622	AC011242.1		1158	tslNA
ENSG00000260598	46.91	16	35405747	35407349	FRG2IP		781	tslNA
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	6981	tsl1
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	3623	tsl2
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	6685	tsl1
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	737	tsl3
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	580	tsl4
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	685	tsl3
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	538	tsl3
ENSG00000152527	38.98	2	43637273	43767987	PLEKHH2	130271	632	tsl3
ENSG00000260812	61.62	16	35414279	35414747	RARRES2P7		469	tslNA
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	2973	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	2014	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1722	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	3281	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1794	tsl5
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1019	tsl2
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1829	tsl5
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1725	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1894	tsl5
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1791	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	624	tsl5
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	855	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	873	tsl2
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	727	tsl2
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	870	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1059	tsl2
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	709	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	572	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1202	tsl1
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	704	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	2344	tslNA
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	480	tsl2
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	488	tsl3
ENSG00000023191	60.36	11	494512	507300	RNH1	6050	1864	tsl5
ENSG00000136367	52.73	14	23520855	23556192	ZFHX2	85446	9182	tsl5
ENSG00000136367	52.73	14	23520855	23556192	ZFHX2	85446	456	tsl5
ENSG00000136367	52.73	14	23520855	23556192	ZFHX2	85446	1603	tsl2
ENSG00000136367	52.73	14	23520855	23556192	ZFHX2	85446	949	tsl5
ENSG00000136367	52.73	14	23520855	23556192	ZFHX2	85446	1972	tsl2
